1726000575.5685043, [12 -1], 12.041594578792296, [13.  -1.6], 13.098091464026353, Right
1726000575.6175184, [11  1], 11.045361017187261, [12.8 -0.8], 12.824975633505119, Right
1726000575.6545308, [13  0], 13.0, [12.6 -0.4], 12.60634760745554, Right
1726000575.6955185, [46  8], 46.69047011971501, [19.2  1.4], 19.250974001333024, Right
1726000575.7423632, [7 4], 8.06225774829855, [17.8  2.4], 17.961069010501575, Right
1726000575.7903433, [15  4], 15.524174696260024, [18.4  3.4], 18.711493793922493, Right
1726000575.836587, [8 4], 8.94427190999916, [17.8  4. ], 18.243903091169937, Right
1726000575.8824816, [0 0], 0.0, [15.2  4. ], 15.7175061635108, Right
1726000575.9294944, [10  5], 11.180339887498949, [8.  3.4], 8.692525524840292, Right
1726000575.9792233, [8 2], 8.246211251235321, [8.2 3. ], 8.73155198117723, Right
1726000576.025242, [24 16], 28.844410203711913, [10.   5.4], 11.364858116140297, Right
1726000576.0721812, [0 0], 0.0, [8.4 4.6], 9.577055915050304, Right
1726000576.1183636, [3 2], 3.605551275463989, [9. 5.], 10.295630140987, Right
1726000576.1672091, [1 2], 2.23606797749979, [7.2 4.4], 8.438009243891594, Right
1726000576.3566766, [-23  -7], 24.041630560342615, [-11.   -2.5], 11.280514172678478, Left
1726000576.4031236, [-9  3], 9.486832980505138, [-16.  -2.], 16.1245154965971, Left
1726000576.4504807, [-8  2], 8.246211251235321, [-13.33333333  -0.66666667], 13.349989596333858, Left
1726000576.5426636, [-14   1], 14.035668847618199, [-13.5   -0.25], 13.502314616390777, Left
1726000576.5882618, [-5 -1], 5.0990195135927845, [-9.    1.25], 9.086390922693123, Left
1726000577.258927, [-226   18], 226.71568097509268, [-226.   18.], 226.71568097509268, Left
1726000577.3056571, [-14   2], 14.142135623730951, [-120.   10.], 120.41594578792295, Left
1726000577.3537078, [-10   6], 11.661903789690601, [-83.33333333   8.66666667], 83.78278794332135, Left
1726000577.4001734, [-16  -3], 16.278820596099706, [-66.5    5.75], 66.74812731455468, Left
1726000578.0468595, [-45   5], 45.27692569068709, [-45.   5.], 45.27692569068709, Left
1726000580.0268025, [194 -78], 209.093280618962, [194. -78.], 209.093280618962, Right
1726000580.0718977, [-14  -2], 14.142135623730951, [ 90. -40.], 98.48857801796105, Right
1726000580.1186748, [-14   1], 14.035668847618199, [ 55.33333333 -26.33333333], 61.279868001018265, Right
1726000580.165758, [-13   0], 13.0, [ 38.25 -19.75], 43.047938394306414, Right
1726000580.2115939, [-18  -2], 18.110770276274835, [ 27.  -16.2], 31.487140232164624, Right
1726000580.2599547, [-16   0], 16.0, [-15.   -0.6], 15.011995203836165, Left
1726000580.3075473, [-21   1], 21.02379604162864, [-16.4   0. ], 16.4, Left
1726000580.345536, [-18   2], 18.110770276274835, [-17.2   0.2], 17.201162751395614, Left
1726000580.385855, [-49  14], 50.96076922496363, [-24.4   3. ], 24.583734460004237, Left
1726000580.4336333, [-6  4], 7.211102550927978, [-22.    4.2], 22.39732126840172, Left
1726000581.2795715, [ 2 17], 17.11724276862369, [ 2. 17.], 17.11724276862369, Right
1726000581.372071, [ 60 -24], 64.62197768561404, [31.  -3.5], 31.196954979612993, Right
1726000581.40862, [10 -3], 10.44030650891055, [24.         -3.33333333], 24.23037579384833, Right
1726000581.4496489, [13 -1], 13.038404810405298, [21.25 -2.75], 21.42720233721612, Right
1726000581.487172, [13  0], 13.0, [24. -7.], 25.0, Right
1726000581.5320134, [24  4], 24.331050121192877, [24.  -4.8], 24.475293665245367, Right
1726000581.5744243, [0 0], 0.0, [12.  0.], 12.0, Right
1726000581.621269, [11  4], 11.704699910719626, [12.2  1.4], 12.280065146407, Right
1726000581.717435, [20  5], 20.615528128088304, [13.75  3.25], 14.128871150944791, Right
1726000581.81202, [34  1], 34.0147027033899, [21.66666667  3.33333333], 21.921577396609845, Right
1726000581.86007, [11  3], 11.40175425099138, [21.66666667  3.        ], 21.87337295536389, Right
1726000581.9518664, [19  7], 20.248456731316587, [21.33333333  3.66666667], 21.64614412673896, Right
1726000582.0002546, [0 0], 0.0, [16.    2.75], 16.23460809505422, Right
1726000582.0465047, [7 2], 7.280109889280518, [9.25 3.  ], 9.724325169388361, Right
1726000582.2688603, [30 32], 43.86342439892262, [30. 32.], 43.86342439892262, Right
1726000582.314616, [2 3], 3.605551275463989, [16.  17.5], 23.71181140275875, Right
1726000582.3608868, [ 5 -2], 5.385164807134504, [12.33333333 11.        ], 16.526073674987387, Right
1726000582.5023744, [ 4 -2], 4.47213595499958, [ 3.66666667 -0.33333333], 3.6817870057290865, Right
1726000582.5952759, [ -7 -15], 16.55294535724685, [-1.5 -8.5], 8.631338250816034, Left
1726000582.6406806, [-2 -4], 4.47213595499958, [-1.66666667 -7.        ], 7.195677714974301, Left
1726000582.7350311, [ -8 -11], 13.601470508735444, [ -5.66666667 -10.        ], 11.49395976637778, Left
1726000582.8271837, [-39 -24], 45.79301256742124, [-16.33333333 -13.        ], 20.875291082468234, Left
1726000582.8757527, [-9 -1], 9.055385138137417, [-18.66666667 -12.        ], 22.191089302790985, Left
1726000582.9222157, [-10  -6], 11.661903789690601, [-16.5 -10.5], 19.557607215607945, Left
1726000582.9702454, [-10  -1], 10.04987562112089, [-17.  -8.], 18.788294228055936, Left
1726000583.0168452, [-12  -2], 12.165525060596439, [-16.   -6.8], 17.385051049680584, Left
1726000583.0649693, [-9 -1], 9.055385138137417, [-10.   -2.2], 10.239140588936163, Left
1726000583.1025019, [-9 -3], 9.486832980505138, [-10.   -2.6], 10.332473082471592, Left
1726000583.1435854, [-7  0], 7.0, [-9.4 -1.4], 9.503683496413379, Left
1726000583.1902494, [-13  -1], 13.038404810405298, [-10.   -1.4], 10.09752444909147, Left
1726000583.23774, [-20  -5], 20.615528128088304, [-11.6  -2. ], 11.77115117564973, Left
1726000583.2848632, [-7  1], 7.0710678118654755, [-11.2  -1.6], 11.31370849898476, Left
1726000583.3331785, [-8  0], 8.0, [-11.  -1.], 11.045361017187261, Left
1726000583.3812206, [-8  0], 8.0, [-11.2  -1. ], 11.244554237496477, Left
1726000583.4287539, [-9  1], 9.055385138137417, [-10.4  -0.6], 10.417293314484334, Left
1726000583.476843, [-9  1], 9.055385138137417, [-8.2  0.6], 8.221921916437786, Left
1726000583.5240853, [-9  1], 9.055385138137417, [-8.6  0.6], 8.620904824900922, Left
1726000583.5717316, [-11   3], 11.40175425099138, [-9.2  1.2], 9.277930803794561, Left
1726000583.6175616, [-23   7], 24.041630560342615, [-12.2   2.6], 12.47397290361014, Left
1726000583.6655576, [-30  16], 34.0, [-16.4   5.6], 17.329743217947577, Left
1726000583.7112465, [-13   7], 14.7648230602334, [-17.2   6.8], 18.49540483471503, Left
1726000583.758337, [-9  7], 11.40175425099138, [-17.2   8. ], 18.969449122207003, Left
1726000584.1851869, [17 10], 19.72308292331602, [17. 10.], 19.72308292331602, Right
1726000584.2303207, [13 -6], 14.317821063276353, [15.  2.], 15.132745950421556, Right
1726000584.2793727, [ 41 -11], 42.44997055358225, [23.66666667 -2.33333333], 23.781411975649295, Right
1726000584.329645, [15  0], 15.0, [21.5  -1.75], 21.571103356110463, Right
1726000584.373669, [ 5 -1], 5.0990195135927845, [18.2 -1.6], 18.270194306574847, Right
1726000584.4213436, [6 0], 6.0, [16.  -3.6], 16.4, Right
1726000584.4684503, [7 2], 7.280109889280518, [14.8 -2. ], 14.934523762075576, Right
1726000584.5656607, [13  1], 13.038404810405298, [7.75 0.5 ], 7.766112283504533, Right
1726000584.6107423, [20 -2], 20.09975124224178, [11.5   0.25], 11.502717070327341, Right
1726000584.6577437, [ 6 -1], 6.082762530298219, [11.5  0. ], 11.5, Right
1726000584.7041469, [5 0], 5.0, [11.  -0.5], 11.01135777277262, Right
1726000584.7511487, [ 6 -1], 6.082762530298219, [10.  -0.6], 10.017983829094554, Right
1726000610.2488122, [-1  0], 1.0, [-1.  0.], 1.0, Left
1726000610.294813, [-2  1], 2.23606797749979, [-1.5  0.5], 1.5811388300841898, Left
1726000610.340399, [1 1], 1.4142135623730951, [-0.66666667  0.66666667], 0.9428090415820634, Left
1726000610.3874505, [0 1], 1.0, [-0.5   0.75], 0.9013878188659973, Left
1726000610.4364395, [-1  1], 1.4142135623730951, [-0.6  0.8], 1.0, Left
1726000610.4845114, [-3  2], 3.605551275463989, [-1.   1.2], 1.5620499351813308, Left
1726000610.5312872, [-1  0], 1.0, [-0.8  1. ], 1.2806248474865698, Left
1726000610.5775716, [-1  1], 1.4142135623730951, [-1.2  1. ], 1.5620499351813308, Left
1726000610.617155, [-1  2], 2.23606797749979, [-1.4  1.2], 1.8439088914585773, Left
1726000610.6557074, [-1 -1], 1.4142135623730951, [-1.4  0.8], 1.6124515496597098, Left
1726000610.7040997, [-1  1], 1.4142135623730951, [-1.   0.6], 1.16619037896906, Left
1726000610.7447486, [ 0 -1], 1.0, [-0.8  0.4], 0.894427190999916, Left
1726000610.7857265, [-1  1], 1.4142135623730951, [-0.8  0.4], 0.894427190999916, Left
1726000610.8299847, [-1  1], 1.4142135623730951, [-0.8  0.2], 0.8246211251235323, Left
1726000610.8779209, [0 3], 3.0, [-0.6  1. ], 1.16619037896906, Left
1726000610.921052, [ 0 -1], 1.0, [-0.4  0.6], 0.7211102550927979, Left
1726000610.969056, [0 0], 0.0, [-0.4  0.8], 0.894427190999916, Left
1726000611.0163136, [0 0], 0.0, [-0.2  0.6], 0.6324555320336759, Left
1726000611.0633802, [0 0], 0.0, [0.  0.4], 0.4, Center
1726000611.1135538, [0 0], 0.0, [ 0.  -0.2], 0.2, Center
1726000611.1510348, [0 0], 0.0, [0. 0.], 0.0, Center
1726000611.1908169, [2 1], 2.23606797749979, [0.4 0.2], 0.447213595499958, Right
1726000611.2345645, [-1  0], 1.0, [0.2 0.2], 0.28284271247461906, Right
1726000611.28292, [ 0 -1], 1.0, [0.2 0. ], 0.2, Right
1726000611.3189123, [-1  0], 1.0, [0. 0.], 0.0, Center
1726000611.3624523, [0 1], 1.0, [0.  0.2], 0.2, Center
1726000611.4105337, [ 1 -1], 1.4142135623730951, [-0.2 -0.2], 0.28284271247461906, Left
1726000611.457728, [0 1], 1.0, [0. 0.], 0.0, Center
1726000611.4957435, [0 0], 0.0, [0.  0.2], 0.2, Center
1726000611.5387607, [-1 -1], 1.4142135623730951, [0. 0.], 0.0, Center
1726000611.5843189, [-1  1], 1.4142135623730951, [-0.2  0. ], 0.2, Left
1726000611.634044, [0 0], 0.0, [-0.4  0.2], 0.447213595499958, Left
1726000611.6829493, [1 1], 1.4142135623730951, [-0.2  0.2], 0.28284271247461906, Left
1726000611.748479, [-2 -1], 2.23606797749979, [-0.5   0.25], 0.5590169943749475, Left
1726000611.7935991, [1 0], 1.0, [0. 0.], 0.0, Center
1726000611.8411555, [0 0], 0.0, [0. 0.], 0.0, Center
